Date,Suhu_Rata_rata,Kelembaban_Rata_rata,Curah_Hujan,Kecepatan_Angin_Rata_rata
2013-07-06,26.7,74,0,4
2013-07-07,27.3,72,0,4
2013-07-08,27.6,78,0,4
2013-07-09,26.9,88,18,4
2013-07-10,27.2,84,14,4
2013-07-11,27.3,85,37,3
2013-07-12,26.2,86,0,5
2013-07-13,27.5,78,0,4
2013-07-14,26.9,85,10,5
2013-07-15,27.4,78,32,5
2013-07-16,27.6,79,0,6
2013-07-17,27.2,72,1,4
2013-07-18,26.6,70,0,4
2013-07-19,25.6,71,0,5
2013-07-20,25.7,80,0,4
2013-07-21,26.9,76,0,5
2013-07-22,26.9,80,8888,5
2013-07-23,27.2,82,0,5
2013-07-24,27.1,81,0,6
2013-07-25,26.7,79,0,5
2013-07-26,26.5,81,0,4
2013-07-27,26.4,78,0,4
2013-07-28,25.8,70,0,3
2013-07-29,25,70,0,3
2013-07-30,24.5,76,0,3
2013-07-31,25.8,79,8888,4
2013-08-01,26.9,74,0,5
2013-08-02,26.7,72,0,5
2013-08-03,26.6,70,0,5
2013-08-04,26.4,77,8888,5
2013-08-05,26.6,79,8888,5
2013-08-06,26.4,76,1,5
2013-08-07,26.2,77,0,5
2013-08-08,26.2,80,0,4
2013-08-09,26.4,75,0,5
2013-08-10,26,72,0,4
2013-08-11,23.4,70,0,4
2013-08-12,25.5,63,0,3
2013-08-13,24.1,76,0,4
2013-08-14,26.2,81,8888,5
2013-08-15,26.7,80,0,3
2013-08-16,26.6,79,5,4
2013-08-17,24.9,79,0,3
2013-08-18,25.7,77,0,3
2013-08-19,26.5,68,0,4
2013-08-20,25.6,82,0,3
2013-08-21,26.1,78,0,2
2013-08-22,25.6,80,0,3
2013-08-23,26.4,79,0,3
2013-08-24,25.6,80,0,3
2013-08-25,25.8,80,0,3
2013-08-26,26.1,79,8888,4
2013-08-27,26.4,77,0,4
2013-08-28,26,80,0,4
2013-08-29,27,82,0,4
2013-08-30,27.3,80,0,5
2013-08-31,26.9,80,0,5
2013-09-01,27.2,77,0,6
2013-09-02,27.1,76,0,5
2013-09-03,27.1,76,0,5
2013-09-04,26.9,78,8888,5
2013-09-05,27,77,0,5
2013-09-06,26.4,76,0,3
2013-09-07,26.6,78,0,4
2013-09-08,26.7,77,0,4
2013-09-09,25.4,79,0,3
2013-09-10,25.3,76,0,3
2013-09-11,26.1,82,0,4
2013-09-12,26.8,82,0,4
2013-09-13,26.7,80,0,4
2013-09-14,27,72,8888,3
2013-09-15,26.1,78,1,3
2013-09-16,27,74,0,4
2013-09-17,26.8,76,0,3
2013-09-18,24.8,82,0,2
2013-09-19,26.4,74,0,3
2013-09-20,25.4,77,0,3
2013-09-21,26.3,77,0,2
2013-09-22,25.5,80,0,3
2013-09-23,26,80,0,4
2013-09-24,26.6,80,0,4
2013-09-25,26.4,78,0,3
2013-09-26,26.6,74,0,2
2013-09-27,25.6,78,0,2
2013-09-28,25.4,80,0,3
2013-09-29,25.7,76,0,3
2013-09-30,26.8,74,0,3
2013-10-01,27,73,8888,4
2013-10-02,27.6,76,0,4
2013-10-03,26.9,76,0,2
2013-10-04,26.5,78,0,2
2013-10-05,27,79,0,3
2013-10-06,27,81,0,2
2013-10-07,26.8,78,0,3
2013-10-08,26.3,76,0,2
2013-10-09,27.6,73,0,2
2013-10-10,27.3,74,0,3
2013-10-11,27,77,0,2
2013-10-12,26.7,80,0,3
2013-10-13,27.2,75,0,3
2013-10-14,26.5,76,0,3
2013-10-15,27.5,76,0,2
2013-10-16,28.4,78,0,3
2013-10-17,28.9,84,0,4
2013-10-18,28.2,82,0,3
2013-10-19,28.9,76,0,3
2013-10-20,28.5,79,0,3
2013-10-21,28.2,79,0,3
2013-10-22,28.8,70,0,2
2013-10-23,28.9,77,0,2
2013-10-24,27.8,80,0,3
2013-10-25,28,77,0,2
2013-10-26,28.4,79,0,2
2013-10-27,28.9,76,0,3
2013-10-28,28.3,83,10,3
2013-10-29,29,76,0,2
2013-10-30,28.8,73,0,2
2013-10-31,27.8,75,0,2
2013-11-01,28.5,73,0,2
2013-11-02,27.2,80,13,3
2013-11-03,28.8,81,2,4
2013-11-04,28.7,83,0,2
2013-11-05,29.2,76,0,2
2013-11-06,28.6,82,0,3
2013-11-07,28.5,76,8888,3
2013-11-08,29.2,76,0,3
2013-11-09,29.1,80,0,3
2013-11-10,29,76,0,3
2013-11-11,29.5,76,0,3
2013-11-12,29.4,72,0,2
2013-11-13,28.9,75,0,3
2013-11-14,28.2,77,6,2
2013-11-15,27.1,82,1,2
2013-11-16,27.8,81,2,1
2013-11-17,27.4,83,9,2
2013-11-18,27.3,85,2,3
2013-11-19,28,70,22,2
2013-11-20,26,85,8888,3
